status_code,message
400,"{'type': 'constraint_violations_error', 'code': 'message_body_constraint_violations', 'message': 'Field violations were detected in the request body', 'ticket': '1mch8ot5dvy1e', 'violations': {'email': [{'code': 'not_unique'}]}}"
400,"{'type': 'constraint_violations_error', 'code': 'message_body_constraint_violations', 'message': 'Field violations were detected in the request body', 'ticket': '357mb1d3rn4ns', 'violations': {'username': [{'code': 'not_unique'}]}}"
